id,state,animal,plant,palabras,ip_address
242,Louisiana,Carduelis uropygialis,Arnica angustifolia Vahl ssp. angustifolia,diam id ornare imperdiet,66.109.28.58
243,Indiana,Damaliscus dorcas,Salix pulchra Cham.,orci nullam molestie,184.40.171.74
244,Louisiana,Graspus graspus,Stellaria cuspidata Willd. ex Schltdl.,eget tempus vel,150.12.69.200
245,New York,Chloephaga melanoptera,Allium perdulce S.V. Fraser var. sperryi Ownbey,orci pede venenatis non sodales,48.250.154.90
246,Georgia,Bucephala clangula,Desmodium procumbens (Mill.) Hitchc. var. exiguum (A. Gray) B.G. Schub.,eu nibh quisque id,128.127.175.190
247,North Carolina,Macaca mulatta,Liriodendron tulipifera L.,id mauris vulputate elementum nullam,73.121.85.41
248,Minnesota,Ratufa indica,Bestia Broth.,justo sit amet,124.92.175.176
249,Pennsylvania,Cochlearius cochlearius,Leptogium stipitatum Vain.,erat volutpat in,138.128.122.251
250,Alabama,Equus hemionus,"Stuckenia filiformis (Pers.) Börner ssp. alpina (Blytt) Haynes, D.H. Les & M. Kral",vestibulum ac est lacinia nisi,210.240.35.161
251,District of Columbia,Phasianus colchicus,Pogogyne clareana J.T. Howell,vestibulum sagittis sapien,76.83.108.51
252,Florida,Bassariscus astutus,Rachicallis americana (Jacq.) Kuntze,amet sem fusce consequat nulla,36.16.217.231
253,California,Cereopsis novaehollandiae,Hordeum jubatum L.,feugiat non pretium quis,90.20.83.40
254,Michigan,Crotalus triseriatus,Angelica kingii (S. Watson) J.M. Coult. & Rose,aenean lectus pellentesque eget nunc,52.252.114.37
255,Nebraska,Dasyurus viverrinus,Buellia uberior Anzi,ultricies eu nibh,43.54.23.171
256,Texas,Lemur catta,Salix ovalifolia Trautv. var. ovalifolia,leo pellentesque ultrices mattis odio,90.237.45.47
257,New York,Dicrostonyx groenlandicus,Lessingia lemmonii A. Gray var. ramulosissima (A. Nelson) Ferris,praesent blandit lacinia erat vestibulum,52.18.92.178
258,New York,Ardea golieth,Arachniodes chaerophylloides (Poir.) Proctor,vel lectus in,72.145.8.96
259,Kentucky,Vulpes cinereoargenteus,Xanthoparmelia norchlorochroa Hale,luctus et ultrices,203.82.245.144
260,Illinois,Coluber constrictor,Wikstroemia monticola Skottsb.,volutpat in congue etiam justo,96.38.65.216
261,Indiana,Bucorvus leadbeateri,Lepidium jaredii Brandegee ssp. album Hoover,nec sem duis,35.187.206.144
262,Texas,Orcinus orca,Astragalus miser Douglas ex Hook. var. decumbens (Nutt. ex Torr. & A. Gray) Cronquist,risus semper porta volutpat,241.41.131.176
263,North Carolina,Alopochen aegyptiacus,Helianthus praecox Engelm. & A. Gray ssp. hirtus (Heiser) Heiser,quam sollicitudin vitae consectetuer,81.186.116.146
264,Kentucky,unavailable,Rosa blanda Aiton var. hispida Farw.,libero nullam sit amet,204.220.243.105
265,Alaska,Bos frontalis,Dysphania anthelmintica (L.) Mosyakin & Clemants,justo aliquam quis,196.98.205.150
266,Florida,Alouatta seniculus,Eupatorium ×truncatum Muhl. ex Willd. (pro sp.),nulla nisl nunc nisl,32.79.140.11
267,New York,Tringa glareola,Websteria S.H. Wright,vulputate nonummy maecenas,211.43.35.227
268,Georgia,Phalacrocorax albiventer,Entada Adans.,convallis morbi odio odio elementum,8.155.187.139
269,Iowa,Physignathus cocincinus,Clermontia samuelii Forbes ssp. samuelii,velit id pretium iaculis,228.252.74.184
270,Pennsylvania,Felis concolor,Layia fremontii (Torr. & A. Gray) A. Gray,vitae consectetuer eget,19.240.158.125
271,Texas,Megaderma spasma,Calliandra humilis Benth.,placerat ante nulla justo aliquam,112.33.92.227
272,Texas,Myrmecophaga tridactyla,Lewisia triphylla (S. Watson) B.L. Rob.,mattis pulvinar nulla,26.45.196.113
273,Texas,Oncorhynchus nerka,Teucrium scorodonia L.,non lectus aliquam,150.36.12.150
274,Tennessee,Lycaon pictus,Camissonia palmeri (S. Watson) P.H. Raven,at nunc commodo placerat praesent,189.231.230.140
275,Virginia,Priodontes maximus,Jatropha dioica Cerv.,vestibulum quam sapien varius ut,82.207.196.24
276,Idaho,Ornithorhynchus anatinus,Lithospermum parksii I.M. Johnst. var. parksii,eu interdum eu,166.36.136.237
277,Ohio,Lutra canadensis,Angelica triquinata Michx.,sagittis nam congue risus,102.82.118.132
278,District of Columbia,Dasyurus maculatus,Anthurium ×selloum K. Koch (pro sp.),non quam nec dui luctus,233.237.62.231
279,Florida,Alcelaphus buselaphus caama,Aquilegia L.,id sapien in sapien,113.34.18.6
280,Arizona,Butorides striatus,Pleuropogon sabinei R. Br.,amet sapien dignissim,126.100.235.119
281,Alabama,Pelecans onocratalus,Aloysia gratissima (Gillies & Hook.) Troncoso,ullamcorper augue a suscipit nulla,156.231.247.103
282,Texas,Speothos vanaticus,Lupinus caudatus Kellogg ssp. caudatus,hac habitasse platea dictumst etiam,110.1.239.87
283,California,Cynictis penicillata,Nothochelone (A. Gray) Straw,vestibulum eget vulputate ut ultrices,49.249.194.199
284,Connecticut,Corvus albicollis,Allium lacunosum S. Watson var. kernense McNeal & Ownbey,iaculis diam erat,83.119.150.109
285,Mississippi,Cercopithecus aethiops,Xylographa (Fr.) Fr.,fermentum donec ut mauris,137.183.223.239
286,Wisconsin,Cordylus giganteus,Lupinus leucophyllus Douglas ex Lindl. ssp. leucophyllus var. canescens (Howell) C.P. Sm.,interdum in ante,176.77.252.119
287,Missouri,Genetta genetta,Porpidia lowiana Gowan,eleifend luctus ultricies,57.251.228.128
288,District of Columbia,Canis mesomelas,Scribneria Hack.,in ante vestibulum,251.236.132.22
289,Ohio,Zenaida asiatica,Boschniakia hookeri Walp.,suscipit ligula in lacus,75.186.111.116
290,Virginia,Felis silvestris lybica,Trifolium gracilentum Torr. & A. Gray var. palmeri (S. Watson) McDermott,orci mauris lacinia sapien,201.245.19.119
291,Florida,Macaca fuscata,Eupatorium album L.,sodales sed tincidunt eu felis,84.90.167.152
292,Virginia,Funambulus pennati,Stachys eplingii J.B. Nelson,dapibus at diam,228.96.223.253
293,California,Macropus agilis,Brachythecium frigidum (Müll. Hal.) Besch.,congue eget semper rutrum,169.211.94.249
294,Missouri,Ciconia ciconia,Parryella Torr. & A. Gray ex A. Gray,morbi porttitor lorem id,129.113.23.215
295,Massachusetts,Tockus erythrorhyncus,Microseris bigelovii (A. Gray) Sch. Bip.,risus praesent lectus vestibulum,157.174.106.2
296,California,Bassariscus astutus,Heteromeles arbutifolia (Lindl.) M. Roem. var. arbutifolia,dolor morbi vel,136.92.156.96
297,Connecticut,Bettongia penicillata,Elmera racemosa (S. Watson) Rydb. var. puberulenta C.L. Hitchc.,potenti cras in purus eu,187.15.236.135
298,Texas,Equus burchelli,Sarracenia ×exornata G. Nicholson (pro sp.),vivamus in felis eu sapien,164.135.191.116
299,California,Bettongia penicillata,Cyathea furfuracea Baker,aliquam erat volutpat in,198.36.235.224
300,Wisconsin,Dipodomys deserti,Erigeron subtrinervis Rydb. ex Porter & Britton var. conspicuus (Rydb.) Cronquist,tortor sollicitudin mi sit amet,77.10.90.105
301,Colorado,Ardea cinerea,Oligoneuron rigidum (L.) Small var. humile (Porter) G.L. Nesom,aliquet ultrices erat,183.168.48.112
302,California,Capreolus capreolus,Fimbristylis Vahl,sed lacus morbi sem mauris,31.101.119.90
303,California,Equus burchelli,Polygala senega L.,quis odio consequat varius integer,43.49.161.97
304,District of Columbia,Lorythaixoides concolor,Tracyina S.F. Blake,erat vestibulum sed magna at,63.98.32.8
305,New York,Chlidonias leucopterus,Cypripedium parviflorum Salisb. var. parviflorum,neque duis bibendum morbi,94.219.205.158
306,Indiana,Genetta genetta,Trichomanes polypodioides L.,magna ac consequat,55.177.201.33
307,District of Columbia,Ovis orientalis,Lonicera dioica L.,lectus in est risus,121.221.237.59
308,Texas,Dendrocitta vagabunda,Polygonum bistorta L. var. bistorta,dapibus nulla suscipit ligula,219.42.36.253
309,Illinois,Vulpes vulpes,Brachythecium oxycladon (Brid.) A. Jaeger,vestibulum aliquet ultrices erat tortor,38.170.221.253
310,Iowa,Sarcorhamphus papa,Leptochloa fusca (L.) Kunth,accumsan tellus nisi eu orci,51.231.204.152
311,Ohio,Anser anser,Xanthoparmelia planilobata (Gyel.) Hale,posuere felis sed,23.15.174.49
312,Florida,Erinaceus frontalis,Draba sharsmithii Rollins & R.A. Price,aliquam quis turpis,219.227.36.139
313,California,Dasypus septemcincus,Lomatium foeniculaceum (Nutt.) J.M. Coult. & Rose ssp. daucifolium (Torr. & A. Gray) W.L. Theobald,nisi nam ultrices libero,16.41.134.101
314,Louisiana,Gyps bengalensis,Mnium arizonicum Amann,proin leo odio porttitor id,184.0.79.103
315,Louisiana,Bucorvus leadbeateri,Melaleuca viridiflora Sol. ex Gaertn.,hac habitasse platea,46.2.252.21
316,Massachusetts,Lorythaixoides concolor,Trifolium cheranganiense J.B. Gillett,in congue etiam,109.188.45.101
317,Oklahoma,Sceloporus magister,Trifolium virginicum Small ex Small & Vail,pellentesque ultrices phasellus id sapien,48.155.236.251
318,Texas,Phaethon aethereus,Chenopodium berlandieri Moq.,duis ac nibh fusce,105.17.6.188
319,Kansas,Streptopelia decipiens,Agapanthus L'Hér.,ipsum integer a nibh in,141.162.245.76
320,California,Bettongia penicillata,Vernonia gigantea (Walter) Trel.,nunc rhoncus dui vel sem,95.149.1.79
321,North Carolina,Eolophus roseicapillus,Micarea lithinella (Nyl.) Hedl.,amet cursus id turpis integer,247.122.92.133
322,Oklahoma,Tapirus terrestris,Montia bostockii (A.E. Porsild) S.L. Welsh,interdum in ante vestibulum ante,246.161.116.23
323,Pennsylvania,Meles meles,Eucalyptus robusta Sm.,volutpat convallis morbi odio,40.119.97.105
324,Illinois,Lutra canadensis,Jamesia americana Torr. & A. Gray var. zionis N.H. Holmgren & P.K. Holmgren,consequat morbi a ipsum,158.117.136.161
325,Maryland,Colobus guerza,Ribes rubrum L.,est donec odio,201.218.186.161
326,Indiana,Boa caninus,Garcinia L.,orci luctus et ultrices,65.170.105.127
327,Minnesota,Cacatua tenuirostris,"Lecanora caulophylla (Tuck.) ?, ined.?",diam nam tristique,63.38.239.224
328,California,Genetta genetta,Eleocharis nigrescens (Nees) Steud.,lobortis sapien sapien,60.59.112.36
329,New York,Sula dactylatra,Leymus ×uclueletensis (Bowden) Baum,pellentesque viverra pede,252.166.141.213
330,Alabama,Megaderma spasma,Pennisetum orientale (Willd.) Rich.,at turpis a pede,232.182.175.229
331,Maryland,Capreolus capreolus,Pinus strobus L.,leo rhoncus sed,210.212.240.150
332,Nevada,Varanus salvator,Semecarpus cassuvium Roxb.,pellentesque eget nunc donec quis,90.58.154.246
333,Florida,Streptopelia senegalensis,Eugenia aggregata (Vell.) Kiaersk.,duis ac nibh fusce,144.130.136.3
334,New York,Balearica pavonina,Schoenus calostachyus Poir.,tristique fusce congue diam id,229.85.43.150
335,California,Tayassu tajacu,Lysichiton americanus Hultén & H. St. John,porta volutpat quam pede,242.128.218.163
336,Texas,Lorythaixoides concolor,Lygodium microphyllum (Cav.) R. Br.,ante vestibulum ante ipsum,236.89.254.71
337,Idaho,Pedetes capensis,Gundelia L.,sem duis aliquam,162.61.126.216
338,Michigan,Loxodonta africana,Pseudocydonia C.K. Schneid.,pede libero quis orci,129.52.100.88
339,Texas,Crax sp.,Splachnum luteum Hedw. var. luteum,mauris sit amet,20.104.83.31
340,Maryland,Phasianus colchicus,Brassica septiceps (L.H. Bailey) L.H. Bailey,sollicitudin vitae consectetuer,74.130.140.94
341,Pennsylvania,Trichoglossus chlorolepidotus,Lactuca sativa L.,at lorem integer,181.227.24.58
342,New York,Spilogale gracilis,Verbena officinalis L. var. officinalis,accumsan tortor quis turpis,178.109.154.18
343,Florida,Tiliqua scincoides,Arthonia luridoalba Nyl.,nisl nunc rhoncus dui,181.245.46.253
344,New York,Macaca nemestrina,Acacia penninervis Sieber ex DC.,sit amet sem fusce,241.236.63.81
345,California,Struthio camelus,Dryas octopetala L. ssp. octopetala var. octopetala,quam pede lobortis ligula sit,209.112.21.100
346,Arkansas,Coendou prehensilis,Vitis mustangensis Buckley,tempus sit amet sem,190.97.118.96
347,Oklahoma,Speotyte cuniculata,Scutellaria bushii Britton,ridiculus mus vivamus vestibulum sagittis,177.23.202.81
348,Tennessee,Uraeginthus angolensis,Impatiens balsamina L.,lectus aliquam sit,33.187.152.71
349,Kentucky,Cebus apella,Astragalus pycnostachyus A. Gray var. lanosissimus (Rydb.) Munz & McBurney,quisque arcu libero,218.55.6.217
350,Virginia,Redunca redunca,Paspalum prostratum Scribn. & Merr.,erat curabitur gravida nisi at,98.37.249.97
351,Virginia,Cebus apella,Casearia Jacq.,faucibus orci luctus et,39.115.2.38
352,Florida,Pteronura brasiliensis,"Lecidella subauriculata (de Lesd.) ?, ined.?",nulla tellus in sagittis,157.218.208.114
353,Missouri,Dipodomys deserti,Lupinus ×alpestris A. Nelson (pro sp.),quis augue luctus tincidunt nulla,41.101.155.225
354,Louisiana,Aonyx cinerea,Theobroma mammosum Cuatrec. & Leon,proin at turpis a pede,182.16.125.21
355,Michigan,Terathopius ecaudatus,Tortella flavovirens (Bruch.) Broth.,dui luctus rutrum,194.165.216.206
356,Indiana,Thamnolaea cinnmomeiventris,Collema callopismum A. Massal. var. rhyparodes (Nyl.) Degel.,dictumst aliquam augue quam,204.75.69.247
357,Washington,Geochelone elegans,Silphium integrifolium Michx. var. deamii L.M. Perry,enim leo rhoncus,121.131.31.240
358,Virginia,Cynictis penicillata,Rubus maniseesensis L.H. Bailey,nunc purus phasellus in,59.249.149.164
359,Florida,Phalacrocorax niger,Madia citriodora Greene,porttitor lacus at,165.141.126.135
360,Texas,Papio cynocephalus,Arctostaphylos rainbowensis J.E. Keeley & A. Massihi,aliquam non mauris morbi,90.249.204.160
361,Minnesota,Zosterops pallidus,Bischofia Blume,nunc vestibulum ante ipsum,149.222.164.1
362,Arizona,Ardea golieth,Erigeron aequifolius H.M. Hall,nulla mollis molestie,175.187.53.24
363,Texas,Macropus rufus,Linum rupestre (A. Gray) Engelm. ex A. Gray,rhoncus mauris enim leo rhoncus,140.0.38.169
364,Kentucky,Neophron percnopterus,Amorpha laevigata Nutt.,erat eros viverra,10.41.171.161
365,California,Larus dominicanus,Peltula obscurans (Nyl.) Gyel. var. obscurans,orci luctus et ultrices,161.137.1.41
366,Tennessee,Sylvicapra grimma,Cardiospermum microcarpum Kunth,porta volutpat erat quisque,209.218.80.93
367,Florida,Spilogale gracilis,Myoporum sandwicense (A. DC.) A. Gray,maecenas rhoncus aliquam,135.11.246.56
368,Indiana,Raphicerus campestris,Cymodocea rotundata Ehrenb. & Hempr. ex Asch.,nisl nunc rhoncus dui vel,44.215.182.126
369,South Carolina,Streptopelia decipiens,Chrysopsis floridana Small,ultrices aliquet maecenas,175.31.244.155
370,Texas,Eubalaena australis,Asclepias viridula Chapm.,ipsum primis in faucibus,235.76.196.13
371,Utah,Macaca mulatta,Bertholletia Humb. & Bonpl.,non mi integer,210.206.173.123
372,Virginia,Myrmecophaga tridactyla,Allium bolanderi S. Watson var. mirabile (L.F. Hend.) McNeal,nisi at nibh,179.149.49.97
373,Michigan,Spermophilus richardsonii,Viola lithion N.H. Holmgren & P.K. Holmgren,eu felis fusce posuere felis,15.228.113.214
374,Georgia,Dusicyon thous,Clintonia Raf.,integer pede justo lacinia,31.201.44.209
375,Texas,Anser anser,Gilia clivorum (Jeps.) V.E. Grant,mauris vulputate elementum,107.26.35.227
376,Massachusetts,Vombatus ursinus,Thladiantha dubia Bunge,mi pede malesuada in,8.45.126.15
377,Delaware,Haliaeetus leucoryphus,Dichanthelium cynodon (Reichardt) C.A. Clark & Gould,lacinia aenean sit amet justo,244.241.7.219
378,California,Ctenophorus ornatus,Chaenotheca brunneola (Ach.) Müll. Arg.,eget congue eget semper rutrum,85.251.150.214
379,Massachusetts,Spermophilus armatus,Cyperus phaeolepis Cherm.,ultrices erat tortor,35.120.77.117
380,Texas,Cochlearius cochlearius,Cicuta bulbifera L.,sed vestibulum sit,56.203.163.155
381,Texas,Naja haje,Anemone quinquefolia L. var. bifolia Farw.,ut tellus nulla ut erat,179.34.203.75
382,North Carolina,Phalaropus lobatus,Packera pseudaurea (Rydb.) W.A. Weber & Á. Löve var. semicordata (Mack. & Bush) D.K. Trock & T.M. Barkley,natoque penatibus et,158.90.157.50
383,Texas,Phalaropus lobatus,Jatropha costaricensis G.L. Webster & Poveda,nunc proin at,226.253.117.74
384,Florida,Sylvilagus floridanus,Crataegus latebrosa Sarg.,id ornare imperdiet sapien urna,204.127.45.88
385,Tennessee,Sceloporus magister,Phedimus spurius (M. Bieb.) 't Hart,sit amet sapien,229.185.39.231
386,Utah,Merops nubicus,Neptunia Lour.,lacus morbi sem mauris,39.93.145.73
387,Hawaii,Zonotrichia capensis,Trichomanes minutum Blume,orci nullam molestie nibh,167.128.40.130
388,Virginia,Agkistrodon piscivorus,Leptogium erectum Sierk,erat fermentum justo,163.141.159.69
389,California,Drymarchon corias couperi,Brassica oleracea L. var. gongylodes L.,cras in purus,112.174.70.11
390,Texas,Felis silvestris lybica,Dicranum undulatum Brid.,quis libero nullam sit,74.133.46.218
391,Alabama,Zalophus californicus,Leptopterigynandrum Müll. Hal.,mauris eget massa tempor convallis,23.160.85.75
392,Florida,Sciurus vulgaris,Henriettea DC.,integer pede justo lacinia eget,198.1.65.100
393,Minnesota,Aegypius tracheliotus,Oreostemma alpigenum (Torr. & A. Gray) Greene,lobortis convallis tortor risus dapibus,198.133.241.75
394,Massachusetts,Ursus americanus,Digera muricata (L.) Mart.,dui proin leo odio porttitor,107.127.139.243
395,Maryland,Bassariscus astutus,Atriplex navajoensis C.A. Hanson,nulla mollis molestie lorem quisque,231.72.1.204
396,Texas,Fratercula corniculata,Arctostaphylos tomentosa (Pursh) Lindl. ssp. bracteosa (DC.) J.E. Adams,praesent lectus vestibulum quam,249.110.167.151
397,District of Columbia,Stenella coeruleoalba,Polystichum imbricans (D.C. Eaton) D.H. Wagner ssp. curtum (Ewan) D.H. Wagner,quam sapien varius,21.196.197.165
398,Florida,Ciconia episcopus,Populus ×parryi Sarg.,proin eu mi,31.73.166.12
399,Pennsylvania,Heloderma horridum,Forsteronia G. Mey.,ridiculus mus etiam vel,123.109.199.235
400,Ohio,Spermophilus richardsonii,Corydalis micrantha (Engelm. ex A. Gray) A. Gray ssp. micrantha,aliquet ultrices erat tortor,58.238.117.145
401,District of Columbia,Uraeginthus angolensis,Nassella chilensis (Trin.) Desv.,sociis natoque penatibus et,150.172.0.228
402,Connecticut,Paraxerus cepapi,Euphorbia petiolaris Sims,at velit vivamus,221.104.126.28
403,Hawaii,Sylvilagus floridanus,Schismatomma rappii (Zahlbr.) R.C. Harris,et commodo vulputate justo in,200.183.73.76
404,California,Ramphastos tucanus,Scleria testacea Nees,consequat nulla nisl,68.86.118.197
405,Indiana,Cercopithecus aethiops,Pycnanthemum incanum (L.) Michx. var. incanum,proin at turpis a pede,16.11.133.196
406,Maryland,Cervus elaphus,Fimbristylis castanea (Michx.) Vahl,dapibus at diam,81.109.246.106
407,Pennsylvania,Equus hemionus,Palafoxia reverchonii (Bush) Cory,justo maecenas rhoncus,114.80.252.136
408,Alabama,Hystrix cristata,Oryzopsis Michx.,ullamcorper purus sit,48.190.11.253
409,Florida,Pteronura brasiliensis,Maackia Rupr.,rhoncus dui vel sem,217.195.186.120
410,New Jersey,Felis serval,Hibiscus syriacus L.,amet sapien dignissim,39.21.31.198
411,Texas,Zalophus californicus,Canna sylvestris Roscoe,cras non velit nec,86.120.95.137
412,Alabama,Heloderma horridum,Castilleja minor (A. Gray) A. Gray,id turpis integer aliquet,238.232.109.125
413,North Carolina,Camelus dromedarius,Crataegus ×whittakeri Sarg.,curabitur at ipsum ac,237.26.237.243
414,Illinois,Anastomus oscitans,Gladiolus dalenii Van Geel ssp. dalenii,consequat ut nulla sed,86.169.183.242
415,California,Spermophilus tridecemlineatus,Spathiphyllum wallisii Regel,bibendum felis sed interdum venenatis,47.226.73.195
416,South Carolina,Thamnolaea cinnmomeiventris,Echinoplaca tetrapla (Zahlbr.) Lücking,rutrum ac lobortis vel dapibus,70.108.182.170
417,Texas,Marmota monax,Allium lacunosum S. Watson,porttitor lorem id ligula,114.228.88.33
418,Arkansas,Pseudalopex gymnocercus,Euopsis pulvinata (Schaerer) Vain.,nec nisi vulputate nonummy,51.177.177.226
419,Virginia,Macropus robustus,Gratiola ramosa Walter,tristique est et,45.20.252.40
420,District of Columbia,Otaria flavescens,Ledum groenlandicum Oeder,porttitor lorem id,69.3.52.103
421,Connecticut,Spermophilus lateralis,Erigeron vreelandii Greene,consequat metus sapien ut nunc,73.186.247.58
422,Oregon,Bucephala clangula,Hygroamblystegium noterophilum (Sull. & Lesq.) Warnst.,odio porttitor id consequat in,52.159.53.27
423,Nevada,Capreolus capreolus,Sium carsonii Durand ex A. Gray,suscipit nulla elit ac,93.141.41.155
424,Arkansas,Paraxerus cepapi,Astragalus purshii Douglas ex Hook. var. lectulus (S. Watson) M.E. Jones,pellentesque ultrices phasellus id sapien,177.244.136.133
425,Colorado,Pavo cristatus,Eriogonum intrafractum Coville & Morton,rutrum nulla nunc purus,252.106.62.143
426,New York,Cygnus buccinator,Lespedeza hirta (L.) Hornem. ssp. curtissii Clewell,amet nulla quisque arcu libero,46.43.6.99
427,District of Columbia,Felis concolor,Hackelia micrantha (Eastw.) J.L. Gentry,magna bibendum imperdiet nullam,47.20.149.154
428,Alabama,unavailable,Helleborus orientalis Lam.,nullam molestie nibh in,108.113.25.197
429,Alabama,Anas punctata,Melaspilea amota Nyl.,eros vestibulum ac est,58.20.114.74
430,West Virginia,Paraxerus cepapi,Lesquerella arctica (Wormsk. ex Hornem.) S. Watson,suspendisse potenti in,135.68.155.133
431,Texas,Colobus guerza,Nasturtium officinale W.T. Aiton,sagittis sapien cum sociis natoque,55.85.57.91
432,Kansas,Macropus rufus,Argemone pleiacantha Greene,augue luctus tincidunt nulla,194.165.23.78
433,Minnesota,Pteropus rufus,Jacquemontia pringlei A. Gray,feugiat et eros vestibulum,152.19.55.142
434,Texas,Zalophus californicus,Hibiscus arnottianus A. Gray,turpis adipiscing lorem,221.121.133.156
435,Texas,Bubalus arnee,Argentina anserina (L.) Rydb.,sed justo pellentesque viverra pede,222.28.50.134
436,California,Ictalurus furcatus,Fleischmannia microstemon (Cass.) R.M. King & H. Rob.,vehicula condimentum curabitur in libero,5.171.200.79
437,Tennessee,Grus rubicundus,Evolvulus nummularius (L.) L.,nisi venenatis tristique fusce,137.182.29.0
438,Florida,Bison bison,Fissidens obtusifolius Wilson,nullam porttitor lacus at,236.184.105.117
439,Nevada,Chlidonias leucopterus,Carex interior L.H. Bailey,malesuada in imperdiet et,247.24.221.97
440,Florida,Eolophus roseicapillus,Mimetanthe Greene,tincidunt in leo maecenas pulvinar,251.33.20.186
441,Florida,Milvus migrans,Allium dichlamydeum Greene,mi pede malesuada in imperdiet,81.68.87.91
442,Florida,Zenaida galapagoensis,Juniperus pseudosabina Fisch. & C.A. Mey.,dignissim vestibulum vestibulum ante,87.247.50.127
443,California,Elephas maximus bengalensis,Rhynchospora knieskernii Carey,semper sapien a libero,237.133.193.237
444,Nebraska,Bugeranus caruncalatus,Claytonia parviflora Douglas ex Hook. ssp. utahensis (Rydb.) John M. Mill. & K.L. Chambers,vel lectus in quam fringilla,60.230.130.63
445,Florida,Lutra canadensis,Isachne distichophylla Munro ex Hillebr.,nullam sit amet turpis,44.18.125.166
446,Ohio,Macropus parryi,Plantago hawaiensis (A. Gray) Pilg.,tincidunt lacus at,107.26.191.106
447,Connecticut,Genetta genetta,Lesquerella pendula Rollins,suspendisse potenti cras in,40.97.119.92
448,Virginia,Cacatua tenuirostris,Aconitum delphiniifolium DC. ssp. delphiniifolium,ultrices aliquet maecenas leo,151.209.218.28
449,California,Tachyglossus aculeatus,Isachne carolinensis Ohwi,nisi venenatis tristique,11.57.67.101
450,Texas,Dacelo novaeguineae,Clarkia dudleyana (Abrams) J.F. Macbr.,ac nibh fusce lacus purus,50.81.56.3
451,Oregon,Pelecanus occidentalis,Maireana aphylla (R. Br.) Paul G. Wilson,donec ut dolor,89.145.70.220
452,Illinois,Carduelis pinus,Eschscholzia minutiflora S. Watson ssp. covillei (Greene) C. Clark,etiam vel augue vestibulum rutrum,188.244.0.55
453,Indiana,Lophoaetus occipitalis,Calliergonella cuspidata (Hedw.) Loeske,mauris laoreet ut,23.241.114.242
454,Arizona,Butorides striatus,Aristolochia bilabiata L.,imperdiet sapien urna,23.144.241.144
455,California,Meleagris gallopavo,Peperomia subpetiolata Yunck.,nullam orci pede venenatis non,85.179.69.129
456,Florida,Ovis musimon,Cyperus dioicus I.M. Johnst.,sed vestibulum sit amet,13.99.73.29
457,Iowa,Recurvirostra avosetta,Astragalus alvordensis M.E. Jones,condimentum curabitur in libero ut,135.255.187.222
458,Florida,Anthropoides paradisea,Saxifraga nivalis L.,sed tristique in tempus,81.11.230.238
459,California,Thalasseus maximus,Helianthus ×orgyaloides Cockerell (pro sp.),praesent blandit lacinia,5.139.85.155
460,District of Columbia,Phoeniconaias minor,Lotus dendroideus (Greene) Greene var. veatchii (Greene) Isely,nisi vulputate nonummy,136.197.199.178
461,West Virginia,Canis aureus,Carex melanostachya M. Bieb. ex Willd.,donec quis orci,118.61.73.88
462,California,Macropus fuliginosus,Mimosa L.,phasellus sit amet erat nulla,21.110.97.77
463,South Carolina,Equus hemionus,Caloplaca camptidia (Tuck.) Zahlbr.,dictumst maecenas ut massa,219.224.186.170
464,Louisiana,Spilogale gracilis,Myosurus L.,neque vestibulum eget,249.153.93.233
465,Texas,Hippotragus niger,Nonea versicolor (Stev.) Sweet,nulla nisl nunc nisl,255.22.200.109
466,Illinois,Eudyptula minor,Bruchia carolinae Austin,morbi quis tortor,59.244.186.250
467,New York,Pelecanus occidentalis,Sairocarpus watsonii (Vasey & Rose) D.A. Sutton,morbi a ipsum integer a,51.176.22.156
468,Georgia,Propithecus verreauxi,Stuckenia vaginata (Turcz.) Holub,nisl duis ac,59.196.248.246
469,Florida,Certotrichas paena,Gossypium arboreum L.,est phasellus sit amet,159.3.232.105
470,Illinois,Cracticus nigroagularis,Senecio vulgaris L.,sapien quis libero nullam sit,119.64.73.178
471,Oregon,Haematopus ater,Halecania M. Mayrh.,condimentum id luctus nec,44.184.45.207
472,Oregon,Redunca redunca,Linanthus dianthiflorus (Benth.) Greene,pellentesque eget nunc donec quis,249.168.130.227
473,Illinois,Merops bullockoides,Arabis eschscholtziana Andrz.,at dolor quis,63.225.197.118
474,New Jersey,Ursus americanus,Cynanchum wigginsii Shinners,scelerisque mauris sit,238.106.89.33
475,New York,Pseudoleistes virescens,Pavonia fruticosa (Mill.) Fawc. & Rendle,tortor duis mattis egestas metus,61.190.117.237
476,Florida,Castor fiber,Carnegiea Britton & Rose,nascetur ridiculus mus,109.184.6.193
477,Oklahoma,Canis aureus,Agastache pallidiflora (A. Heller) Rydb. ssp. neomexicana (Briq.) Lint & Epling var. neomexicana (Briq.) R.W. Sanders,mauris sit amet,0.165.178.148
478,Texas,Theropithecus gelada,Euphorbia eriantha Benth.,neque duis bibendum,203.204.133.131
479,District of Columbia,Drymarchon corias couperi,Salix irrorata Andersson,mus vivamus vestibulum sagittis,179.162.188.88
480,Mississippi,Chlamydosaurus kingii,Pedicularis furbishiae S. Watson,pede libero quis,190.84.75.131
481,Missouri,Drymarchon corias couperi,Paronychia baldwinii (Torr. & A. Gray) Fenzl ex Walp. ssp. baldwinii,id nulla ultrices aliquet,233.74.137.25
482,Tennessee,Tadorna tadorna,Mucronea Benth.,non velit donec,214.165.113.25
